Gene_id	Gene_symbol	Protein_name	Uniprot_ACC
ENSMUSG00000108265	Olfr318	Olfactory receptor	Q5NCD7_MOUSE
ENSMUSG00000034205	Loxl2	Lysyl oxidase homolog 2	LOXL2_MOUSE
ENSMUSG00000038976	Ppp1r9b	Neurabin-2	NEB2_MOUSE
ENSMUSG00000040350	Trim7	E3 ubiquitin-protein ligase TRIM7	TRIM7_MOUSE
ENSMUSG00000028495	Rps6	40S ribosomal protein S6	RS6_MOUSE
ENSMUSG00000059991	Nptx2	Neuronal pentraxin-2	NPTX2_MOUSE
ENSMUSG00000004031	Brinp2	BMP/retinoic acid-inducible neural-specific protein 2	BRNP2_MOUSE
ENSMUSG00000004270	Lpcat3	Lysophospholipid acyltransferase 5	MBOA5_MOUSE
ENSMUSG00000029550	Sppl3	Signal peptide peptidase-like 3	SPPL3_MOUSE
ENSMUSG00000050350	Gpr18	N-arachidonyl glycine receptor	GPR18_MOUSE
ENSMUSG00000052760	A630001G21Rik	RIKEN cDNA A630001G21 gene	Q3UTB2_MOUSE
ENSMUSG00000091712	Sec14l5	SEC14-like 5 (S. cerevisiae)	B2RXM5_MOUSE
ENSMUSG00000118672	Muc4	Mucin-4	MUC4_MOUSE
ENSMUSG00000036002	Fam214b	Protein FAM214B	F214B_MOUSE
ENSMUSG00000033684	Qsox1	Sulfhydryl oxidase 1	QSOX1_MOUSE
ENSMUSG00000030235	Slco1c1	Solute carrier organic anion transporter family member 1C1	SO1C1_MOUSE
ENSMUSG00000045751	Mms22l	Protein MMS22-like	MMS22_MOUSE
ENSMUSG00000025324	Atp10a	Phospholipid-transporting ATPase VA	AT10A_MOUSE
ENSMUSG00000104346	Pcdhga3	Protocadherin gamma A3	Q91XY5_MOUSE
ENSMUSG00000066952	Myo1h	Unconventional myosin-Ih	MYO1H_MOUSE
ENSMUSG00000073435	Nme3	Nucleoside diphosphate kinase 3	NDK3_MOUSE
ENSMUSG00000032582	Rbm6	RNA-binding motif protein 6	A0A0A6YWN4_MOUSE
ENSMUSG00000024206	Rfx2	DNA-binding protein RFX2	RFX2_MOUSE
ENSMUSG00000063600	Egfem1	EGF-like and EMI domain-containing protein 1	EGFEM_MOUSE
ENSMUSG00000050017	Pitpnb	Phosphatidylinositol transfer protein beta isoform	PIPNB_MOUSE
ENSMUSG00000093973	Mrgpra2a	Mas-related G-protein coupled receptor member A2	MRGA2_MOUSE
ENSMUSG00000018907	Alox12e	Polyunsaturated fatty acid (12S)/(13S)-lipoxygenase, epidermal-type	LX12E_MOUSE
ENSMUSG00000017707	Serinc3	Serine incorporator 3	SERC3_MOUSE
ENSMUSG00000003923	Tfam	Transcription factor A, mitochondrial	TFAM_MOUSE
ENSMUSG00000001034	Mapk7	Mitogen-activated protein kinase 7	MK07_MOUSE
ENSMUSG00000037762	Slc16a9	Monocarboxylate transporter 9	MOT9_MOUSE
ENSMUSG00000062300	Nectin2	Nectin-2	NECT2_MOUSE
ENSMUSG00000030800	Prss8	Prostasin	PRSS8_MOUSE
ENSMUSG00000094030	Gm21833		
ENSMUSG00000044018	Mrpl50	39S ribosomal protein L50, mitochondrial	RM50_MOUSE
ENSMUSG00000021180	Rps6ka5	Ribosomal protein S6 kinase alpha-5	KS6A5_MOUSE
ENSMUSG00000024014	Pim1	Serine/threonine-protein kinase pim-1	PIM1_MOUSE
ENSMUSG00000038855	Itpkb	Kinase	B2RXC2_MOUSE
ENSMUSG00000031503	Col4a2	Collagen alpha-2(IV) chain	CO4A2_MOUSE
ENSMUSG00000094112	9330182O14Rik	RIKEN cDNA 9330182O14 gene	J3QNB2_MOUSE
ENSMUSG00000049288	Lix1l	LIX1-like protein	LIX1L_MOUSE
ENSMUSG00000041673	Lrrc18	Leucine-rich repeat-containing protein 18	LRC18_MOUSE
ENSMUSG00000023764	Sfi1	Protein SFI1 homolog	SFI1_MOUSE
ENSMUSG00000050732	Vamp8	Vesicle-associated membrane protein 8	VAMP8_MOUSE
ENSMUSG00000020722	Cacng1	Voltage-dependent calcium channel gamma-1 subunit	CCG1_MOUSE
ENSMUSG00000041801	Phlda3	Pleckstrin homology-like domain family A member 3	PHLA3_MOUSE
ENSMUSG00000006273	Atp6v1b2	V-type proton ATPase subunit B, brain isoform	VATB2_MOUSE
ENSMUSG00000026821	Ralgds	Ral guanine nucleotide dissociation stimulator	GNDS_MOUSE
ENSMUSG00000027405	Nop56	Nucleolar protein 56	NOP56_MOUSE
ENSMUSG00000057425	Ugt2b37	UDP-glucuronosyltransferase	Q8VCN3_MOUSE
ENSMUSG00000002007	Srpk3	SRSF protein kinase 3	SRPK3_MOUSE
ENSMUSG00000028128	F3	Tissue factor	TF_MOUSE
ENSMUSG00000032105	Pdzd3	Na(+)/H(+) exchange regulatory cofactor NHE-RF4	NHRF4_MOUSE
ENSMUSG00000025224	Gbf1	Golgi-specific brefeldin A-resistance factor 1	A0A668KLD0_MOUSE
ENSMUSG00000022440	C1qtnf6	Complement C1q tumor necrosis factor-related protein 6	C1QT6_MOUSE
ENSMUSG00000055013	Agap1	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1	AGAP1_MOUSE
ENSMUSG00000048930	Tada3	Transcriptional adapter 3	TADA3_MOUSE
ENSMUSG00000041733	Coq5	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	COQ5_MOUSE
ENSMUSG00000025610	Map3k7cl	MAP3K7 C-terminal-like protein	M3KCL_MOUSE
ENSMUSG00000061947	Serpina10	Protein Z-dependent protease inhibitor	ZPI_MOUSE
ENSMUSG00000033307	Mif	Macrophage migration inhibitory factor	MIF_MOUSE
ENSMUSG00000016024	Lbp	Lipopolysaccharide-binding protein	LBP_MOUSE
ENSMUSG00000068523	Gng5	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5	GBG5_MOUSE
ENSMUSG00000021306	Gpr137b	Integral membrane protein GPR137B	G137B_MOUSE
ENSMUSG00000003585	Sec14l2	SEC14-like protein 2	S14L2_MOUSE
ENSMUSG00000042812	Foxf1	Forkhead box protein F1	FOXF1_MOUSE
ENSMUSG00000027470	Mylk2	Myosin light chain kinase 2, skeletal/cardiac muscle	MYLK2_MOUSE
ENSMUSG00000031486	Adgra2	Adhesion G protein-coupled receptor A2	AGRA2_MOUSE
ENSMUSG00000073987	Ggh	Gamma-glutamyl hydrolase	GGH_MOUSE
ENSMUSG00000006699	Cdc42	Cell division control protein 42 homolog	CDC42_MOUSE
ENSMUSG00000029304	Spp1	Osteopontin	OSTP_MOUSE
ENSMUSG00000016458	Wt1	Wilms tumor protein homolog	WT1_MOUSE
ENSMUSG00000026971	Itgb6	Integrin beta-6	ITB6_MOUSE
ENSMUSG00000037636	Slc25a43	Solute carrier family 25 member 43	S2543_MOUSE
ENSMUSG00000049491	Slc36a3	Proton-coupled amino acid transporter 3	S36A3_MOUSE
ENSMUSG00000021830	Txndc16	Thioredoxin domain-containing protein 16	TXD16_MOUSE
ENSMUSG00000042608	Stk40	Serine/threonine-protein kinase 40	STK40_MOUSE
ENSMUSG00000034175	Rhbdd3	Rhomboid domain-containing protein 3	RHBD3_MOUSE
ENSMUSG00000044252	Osbpl1a	Oxysterol-binding protein-related protein 1	OSBL1_MOUSE
ENSMUSG00000047307	Pcdhb13	Protocadherin beta 13	Q91Y06_MOUSE
ENSMUSG00000062906	Hdac10	Polyamine deacetylase HDAC10	HDA10_MOUSE
ENSMUSG00000075113	Olfr1209	Olfactory receptor	Q3MI37_MOUSE
ENSMUSG00000034762	Glis1	Zinc finger protein GLIS1	GLIS1_MOUSE
ENSMUSG00000037353	Letmd1	LETM1 domain-containing protein 1	LTMD1_MOUSE
ENSMUSG00000046474	Krtap4-16	Keratin-associated protein 4-16	Q91W93_MOUSE
ENSMUSG00000035615	Frmpd1	FERM and PDZ domain-containing protein 1	FRPD1_MOUSE
ENSMUSG00000035049	Rrp12	RRP12-like protein	RRP12_MOUSE
ENSMUSG00000030016	Zfp638	Zinc finger protein 638	ZN638_MOUSE
ENSMUSG00000039899	Fgl2	Fibroleukin	FGL2_MOUSE
ENSMUSG00000020009	Ifngr1	Interferon gamma receptor 1	INGR1_MOUSE
ENSMUSG00000031289	Il13ra2	Interleukin-13 receptor subunit alpha-2	I13R2_MOUSE
ENSMUSG00000103766	Gm38392		
ENSMUSG00000109713	Pvrig	Poliovirus receptor-related immunoglobulin domain-containing	A0A1B0GS01_MOUSE
ENSMUSG00000031853	Map3k21	Mitogen-activated protein kinase kinase kinase 21	M3K21_MOUSE
ENSMUSG00000003813	Rad23a	UV excision repair protein RAD23 homolog A	RD23A_MOUSE
ENSMUSG00000032081	Apoc3	Apolipoprotein C-III	APOC3_MOUSE
ENSMUSG00000044600	Smim7	Small integral membrane protein 7	SMIM7_MOUSE
ENSMUSG00000070883	Ccdc173	Coiled-coil domain-containing protein 173	CC173_MOUSE
ENSMUSG00000026669	Mcm10	Protein MCM10 homolog	MCM10_MOUSE
ENSMUSG00000048200	Cracr2b	EF-hand calcium-binding domain-containing protein 4A	EFC4A_MOUSE
ENSMUSG00000089665	Fcor	Foxo1-corepressor	FCOR_MOUSE
ENSMUSG00000061991	H2ac10	Histone H2A type 1-F	H2A1F_MOUSE
ENSMUSG00000039683	Sdk1	Protein sidekick-1	SDK1_MOUSE
ENSMUSG00000069609	Cd300ld4	CD300 molecule-like family member D4	A2A7W1_MOUSE
ENSMUSG00000037944	Ccr7	C-C chemokine receptor type 7	CCR7_MOUSE
ENSMUSG00000032679	Cd59a	CD59A glycoprotein	CD59A_MOUSE
ENSMUSG00000022554	Hgh1	Protein HGH1 homolog	HGH1_MOUSE
ENSMUSG00000037752	Xkr8	XK-related protein 8	XKR8_MOUSE
ENSMUSG00000035211	Xrra1	X-ray radiation resistance-associated protein 1	XRRA1_MOUSE
ENSMUSG00000032839	Trpc1	Short transient receptor potential channel 1	TRPC1_MOUSE
ENSMUSG00000020167	Tcf3	Transcription factor E2-alpha	TFE2_MOUSE
ENSMUSG00000026058	Khdrbs2	KH domain-containing, RNA-binding, signal transduction-associated protein 2	KHDR2_MOUSE
ENSMUSG00000022994	Adcy6	Adenylate cyclase type 6	ADCY6_MOUSE
ENSMUSG00000054843	Atrnl1	Attractin-like protein 1	ATRN1_MOUSE
ENSMUSG00000042554	Zp3r	Zona pellucida sperm-binding protein 3 receptor	ZP3R_MOUSE
ENSMUSG00000026828	Galnt5	Polypeptide N-acetylgalactosaminyltransferase 5	GALT5_MOUSE
ENSMUSG00000048661	Lemd3	Inner nuclear membrane protein Man1	MAN1_MOUSE
ENSMUSG00000025427	Rnf165	E3 ubiquitin-protein ligase RNF165	RN165_MOUSE
ENSMUSG00000020847	Rph3al	Rab effector Noc2	RPH3L_MOUSE
ENSMUSG00000096001	2610528A11Rik	Protein GPR15L	GP15L_MOUSE
ENSMUSG00000078497	Zfp978		
ENSMUSG00000053347	Zfp943	Zinc finger prtoein 943	D3YYH7_MOUSE
ENSMUSG00000022574	Naprt	Nicotinate phosphoribosyltransferase	PNCB_MOUSE
ENSMUSG00000079324	4932414N04Rik	RIKEN cDNA 4932414N04 gene	A2AQL4_MOUSE
ENSMUSG00000043154	Ppp2r3a	3222402P14Rik protein	B2RXC8_MOUSE
ENSMUSG00000024673	Ms4a1	B-lymphocyte antigen CD20	CD20_MOUSE
ENSMUSG00000031904	Slc7a6	Y+L amino acid transporter 2	YLAT2_MOUSE
ENSMUSG00000022702	Hira	Protein HIRA	HIRA_MOUSE
ENSMUSG00000030047	Arhgap25	Rho GTPase-activating protein 25	RHG25_MOUSE
ENSMUSG00000043929	Klhl15	Kelch-like protein 15	KLH15_MOUSE
ENSMUSG00000001494	Sost	Sclerostin	SOST_MOUSE
ENSMUSG00000061458	Nol10	Nucleolar protein 10	NOL10_MOUSE
ENSMUSG00000027706	Sec62	Translocation protein SEC62	SEC62_MOUSE
ENSMUSG00000015575	Atp6v0e	V-type proton ATPase subunit e 1	VA0E1_MOUSE
ENSMUSG00000036256	Igfbp7	Insulin-like growth factor-binding protein 7	IBP7_MOUSE
ENSMUSG00000055172	C1ra	Complement C1r-A subcomponent	C1RA_MOUSE
ENSMUSG00000015829	Tnr	Tenascin-R	TENR_MOUSE
ENSMUSG00000031816	Mthfsd	Methenyltetrahydrofolate synthase domain-containing protein	MTHSD_MOUSE
ENSMUSG00000037364	Srrt	Serrate RNA effector molecule homolog	SRRT_MOUSE
ENSMUSG00000039990	Edrf1	Erythroid differentiation-related factor 1	EDRF1_MOUSE
ENSMUSG00000028573	Fggy	FGGY carbohydrate kinase domain-containing protein	FGGY_MOUSE
ENSMUSG00000044350	Lacc1	Purine nucleoside phosphorylase LACC1	LACC1_MOUSE
ENSMUSG00000022587	Ly6e	Lymphocyte antigen 6E	LY6E_MOUSE
ENSMUSG00000026415	Fcamr	High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor	FCAMR_MOUSE
ENSMUSG00000023349	Clec4n	C-type lectin domain family 6 member A	CLC6A_MOUSE
ENSMUSG00000018919	Tm4sf5	Transmembrane 4 superfamily member 5	Q91XF2_MOUSE
ENSMUSG00000050628	Ubald2	UBA-like domain-containing protein 2	UBAD2_MOUSE
ENSMUSG00000001995	Sipa1l2	Signal-induced proliferation-associated 1-like protein 2	SI1L2_MOUSE
ENSMUSG00000028394	Pole3	DNA polymerase epsilon subunit 3	DPOE3_MOUSE
ENSMUSG00000062328	Rpl17	60S ribosomal protein L17	RL17_MOUSE
ENSMUSG00000021469	Msx2	Homeobox protein MSX-2	MSX2_MOUSE
ENSMUSG00000031570	Plpp5	Phospholipid phosphatase 5	PLPP5_MOUSE
ENSMUSG00000055137	Sugct	Succinate--hydroxymethylglutarate CoA-transferase	SUCHY_MOUSE
ENSMUSG00000059900	Tmem40	Transmembrane protein 40	TMM40_MOUSE
ENSMUSG00000031781	Ciapin1	Anamorsin	CPIN1_MOUSE
ENSMUSG00000040017	Saa4	Serum amyloid A-4 protein	SAA4_MOUSE
ENSMUSG00000029797	Sspo	SCO-spondin	SSPO_MOUSE
ENSMUSG00000034544	Rsrc1	Serine/Arginine-related protein 53	RSRC1_MOUSE
ENSMUSG00000030068	Gm20696		
ENSMUSG00000014782	Plekhg4	Pleckstrin homology domain-containing, family G (with RhoGef domain) member 4	A0A1L1SU27_MOUSE
ENSMUSG00000029557	Mrm2	rRNA methyltransferase 2, mitochondrial	MRM2_MOUSE
ENSMUSG00000081534	Slc48a1	Heme transporter HRG1	HRG1_MOUSE
ENSMUSG00000100586	Vmn1r90	Vomeronasal type-1 receptor	A0A087WR36_MOUSE
ENSMUSG00000060924	Csmd1	CUB and sushi domain-containing protein 1	CSMD1_MOUSE
ENSMUSG00000004113	Cacna1b	Voltage-dependent N-type calcium channel subunit alpha-1B	CAC1B_MOUSE
ENSMUSG00000024593	Megf10	Multiple epidermal growth factor-like domains protein 10	MEG10_MOUSE
ENSMUSG00000045414	Dipk2a	Divergent protein kinase domain 2A	DIK2A_MOUSE
ENSMUSG00000022370	Mrpl13	39S ribosomal protein L13, mitochondrial	RM13_MOUSE
ENSMUSG00000054280	Prr14l	Proline-rich 14-like	E9Q7C4_MOUSE
ENSMUSG00000021036	Sptlc2	Serine palmitoyltransferase 2	SPTC2_MOUSE
ENSMUSG00000042712	Tceal9	Transcription elongation factor A protein-like 9	TCAL9_MOUSE
ENSMUSG00000051375	Pcdh1	Protocadherin 1	A0A0A6YX79_MOUSE
ENSMUSG00000045629	Sh3tc2	SH3 domain and tetratricopeptide repeat-containing protein 2	S3TC2_MOUSE
ENSMUSG00000078786	BC024978	cDNA sequence BC024978	D3Z7G4_MOUSE
ENSMUSG00000032757	Bet1	BET1 homolog	BET1_MOUSE
ENSMUSG00000020778	Ten1	CST complex subunit TEN1	TEN1L_MOUSE
ENSMUSG00000055298	Ctsj	Cathepsin J	CATJ_MOUSE
ENSMUSG00000007411	Mark3	MAP/microtubule affinity-regulating kinase 3	MARK3_MOUSE
ENSMUSG00000092417	Gpank1	G patch domain and ankyrin repeat-containing protein 1	GPAN1_MOUSE
ENSMUSG00000044792	Isca1	Iron-sulfur cluster assembly 1 homolog, mitochondrial	ISCA1_MOUSE
ENSMUSG00000003559	As3mt	Arsenite methyltransferase	AS3MT_MOUSE
ENSMUSG00000053835	H2-T24	Histocompatibility 2, T region locus 24	F8VQG4_MOUSE
ENSMUSG00000034263	Ints14	Integrator complex subunit 14	INT14_MOUSE
ENSMUSG00000019868	Vta1	Vacuolar protein sorting-associated protein VTA1 homolog	VTA1_MOUSE
ENSMUSG00000042284	Itga1	Integrin alpha-1	ITA1_MOUSE
ENSMUSG00000046743	Fat4	Protocadherin Fat 4	FAT4_MOUSE
ENSMUSG00000036887	C1qa	Complement C1q subcomponent subunit A	C1QA_MOUSE
ENSMUSG00000041263	Rusc1	RUN and SH3 domain-containing protein 1	RUSC1_MOUSE
ENSMUSG00000048230	Fbxo43	F-box only protein 43	FBX43_MOUSE
ENSMUSG00000033020	Polr2f	DNA-directed RNA polymerases I, II, and III subunit RPABC2	RPAB2_MOUSE
ENSMUSG00000073940	Hbb-bt	Hemoglobin subunit beta-1	HBB1_MOUSE
ENSMUSG00000059206	Vmn1r71	Vomeronasal type-1 receptor	A0A2I3BPP6_MOUSE
ENSMUSG00000047841	Fndc11	Fibronectin type III domain-containing protein 11	FND11_MOUSE
ENSMUSG00000020108	Ddit4	DNA damage-inducible transcript 4 protein	DDIT4_MOUSE
ENSMUSG00000062070	Pgk1	Phosphoglycerate kinase 1	PGK1_MOUSE
ENSMUSG00000063458	Lrmda	Leucine-rich melanocyte differentiation-associated protein	LRMDA_MOUSE
ENSMUSG00000004110	Cacna1e	Voltage-dependent R-type calcium channel subunit alpha-1E	CAC1E_MOUSE
ENSMUSG00000057606	Colq	Acetylcholinesterase collagenic tail peptide	COLQ_MOUSE
ENSMUSG00000072437	Nanos1	Nanos homolog 1	NANO1_MOUSE
ENSMUSG00000024331	Dsc2	Desmocollin-2	DSC2_MOUSE
ENSMUSG00000060216	Arrb2	Beta-arrestin-2	ARRB2_MOUSE
ENSMUSG00000002266	Zim1	Zinc finger, imprinted 1	Q6NZC6_MOUSE
ENSMUSG00000116378	Gcat.ENSMUSG00000116378		
ENSMUSG00000054036	Olfr279	Olfactory receptor	Q3B855_MOUSE
ENSMUSG00000037349	Nudt22	Uridine diphosphate glucose pyrophosphatase NUDT22	NUD22_MOUSE
ENSMUSG00000056014	A430033K04Rik	RIKEN cDNA A430033K04 gene	A0A0G2JET9_MOUSE
ENSMUSG00000026374	Tsn	Translin	TSN_MOUSE
ENSMUSG00000066042	Med18	Mediator of RNA polymerase II transcription subunit 18	MED18_MOUSE
ENSMUSG00000022283	Pabpc1	Polyadenylate-binding protein 1	PABP1_MOUSE
ENSMUSG00000039543	Cfap70	Cilia- and flagella-associated protein 70	CFA70_MOUSE
ENSMUSG00000030556	Lrrc28	Leucine-rich repeat-containing protein 28	LRC28_MOUSE
ENSMUSG00000038070	Cntln	Centlein	CNTLN_MOUSE
ENSMUSG00000042628	Zfyve1	Zinc finger FYVE domain-containing protein 1	ZFYV1_MOUSE
ENSMUSG00000063015	Ccni	Cyclin-I	CCNI_MOUSE
ENSMUSG00000021572	Cep72	Centrosomal protein of 72 kDa	CEP72_MOUSE
ENSMUSG00000028098	Rnf115	E3 ubiquitin-protein ligase RNF115	RN115_MOUSE
ENSMUSG00000038777	Sema6c	Semaphorin-6C	SEM6C_MOUSE
ENSMUSG00000027273	Snap25	Synaptosomal-associated protein 25	SNP25_MOUSE
ENSMUSG00000067220	Cnga1	cGMP-gated cation channel alpha-1	CNGA1_MOUSE
ENSMUSG00000020429	Igfbp1	Insulin-like growth factor-binding protein 1	IBP1_MOUSE
ENSMUSG00000046723	Adam24	Disintegrin and metalloproteinase domain-containing protein 24	ADA24_MOUSE
ENSMUSG00000057246	BC051142	cDNA sequence BC051142	A0A286YCY6_MOUSE
ENSMUSG00000031711	Zfp330	Zinc finger protein 330	ZN330_MOUSE
ENSMUSG00000031916	Cog8	Conserved oligomeric Golgi complex subunit 8	COG8_MOUSE
ENSMUSG00000069712	4930444G20Rik	RIKEN cDNA 4930444G20 gene	D3Z741_MOUSE
ENSMUSG00000045624	Esf1	ESF1 homolog	ESF1_MOUSE
ENSMUSG00000036968	Cnpy4	Protein canopy homolog 4	CNPY4_MOUSE
ENSMUSG00000059278	Naa38	N-alpha-acetyltransferase 38, NatC auxiliary subunit	LSMD1_MOUSE
ENSMUSG00000064043	Trerf1	Transcriptional-regulating factor 1	TREF1_MOUSE
ENSMUSG00000041567	Serpina12	Serpin A12	SPA12_MOUSE
ENSMUSG00000021113	Snapc1	snRNA-activating protein complex subunit 1	SNPC1_MOUSE
ENSMUSG00000026672	Optn	Optineurin	OPTN_MOUSE
ENSMUSG00000030826	Bcat2	Branched-chain-amino-acid aminotransferase, mitochondrial	BCAT2_MOUSE
ENSMUSG00000015217	Hmgb3	High mobility group protein B3	HMGB3_MOUSE
ENSMUSG00000044400	Sowahd	Ankyrin repeat domain-containing protein SOWAHD	SWAHD_MOUSE
ENSMUSG00000042988	Notum	Palmitoleoyl-protein carboxylesterase NOTUM	NOTUM_MOUSE
ENSMUSG00000025287	Acot9	Acyl-coenzyme A thioesterase 9, mitochondrial	ACOT9_MOUSE
ENSMUSG00000050556	Kcnb1	Potassium voltage-gated channel subfamily B member 1	KCNB1_MOUSE
ENSMUSG00000024151	Msh2	DNA mismatch repair protein Msh2	MSH2_MOUSE
ENSMUSG00000022765	Snap29	Synaptosomal-associated protein 29	SNP29_MOUSE
ENSMUSG00000028772	Zcchc17	Nucleolar protein of 40 kDa	NO40_MOUSE
ENSMUSG00000024077	Strn	Striatin	STRN_MOUSE
ENSMUSG00000048327	Ckap2l	Cytoskeleton-associated protein 2-like	CKP2L_MOUSE
ENSMUSG00000016496	Cd274	Programmed cell death 1 ligand 1	PD1L1_MOUSE
ENSMUSG00000041945	Mfsd9	Major facilitator superfamily domain-containing protein 9	MFSD9_MOUSE
ENSMUSG00000024528	Srfbp1	Serum response factor-binding protein 1	SRFB1_MOUSE
ENSMUSG00000055302	Mrfap1	MORF4 family-associated protein 1	MOFA1_MOUSE
ENSMUSG00000019122	Ccl9	C-C motif chemokine 9	CCL9_MOUSE
ENSMUSG00000039714	Cplx3	Complexin-3	CPLX3_MOUSE
ENSMUSG00000090264	Eif4ebp3	Eukaryotic translation initiation factor 4E-binding protein 3	4EBP3_MOUSE
ENSMUSG00000090071	Cdk5r2	Cyclin-dependent kinase 5 activator 2	CD5R2_MOUSE
ENSMUSG00000022315	Slc30a8	Zinc transporter 8	ZNT8_MOUSE
ENSMUSG00000006024	Napa	Alpha-soluble NSF attachment protein	SNAA_MOUSE
ENSMUSG00000034394	Lif	Leukemia inhibitory factor	LIF_MOUSE
ENSMUSG00000034226	Rhov	Rho-related GTP-binding protein RhoV	RHOV_MOUSE
ENSMUSG00000031494	Cd209a	CD209 antigen-like protein A	C209A_MOUSE
ENSMUSG00000020538	Srebf1	Sterol regulatory element-binding protein 1	SRBP1_MOUSE
ENSMUSG00000026718	Stam	Signal transducing adapter molecule 1	STAM1_MOUSE
ENSMUSG00000047686	Rtl3	Retrotransposon Gag-like protein 3	RTL3_MOUSE
ENSMUSG00000051682	Treml4	Trem-like transcript 4 protein	TRML4_MOUSE
ENSMUSG00000045625	Pigz	GPI mannosyltransferase 4	PIGZ_MOUSE
ENSMUSG00000021848	Otx2	Homeobox protein OTX2	OTX2_MOUSE
ENSMUSG00000079104	Prps1l3	Ribose-phosphate diphosphokinase	G3UXL2_MOUSE
ENSMUSG00000029836	Cbx3	Chromobox protein homolog 3	CBX3_MOUSE
ENSMUSG00000043251	Exoc3l	Exocyst complex component 3-like protein	EX3L1_MOUSE
ENSMUSG00000043421	Hilpda	Hypoxia-inducible lipid droplet-associated protein	HLPDA_MOUSE
ENSMUSG00000054770	Kctd18	Potassium channel tetramerisation domain-containing 18	E0CXJ5_MOUSE
ENSMUSG00000021010	Npas3	Neuronal PAS domain-containing protein 3	NPAS3_MOUSE
ENSMUSG00000036091	Hyal3	Hyaluronidase-3	HYAL3_MOUSE
ENSMUSG00000023070	Rgn	Regucalcin	RGN_MOUSE
ENSMUSG00000038374	Rbm8a	RNA-binding protein 8A	RBM8A_MOUSE
ENSMUSG00000107283	Mpv17	Protein Mpv17	MPV17_MOUSE
ENSMUSG00000003227	Edar	Tumor necrosis factor receptor superfamily member EDAR	EDAR_MOUSE
ENSMUSG00000039234	Sec24d	Sec24-related gene family, member D (S. cerevisiae)	A0A0G2JGJ5_MOUSE
ENSMUSG00000031513	Leprotl1	Leptin receptor overlapping transcript-like 1	LERL1_MOUSE
ENSMUSG00000022181	C6	Complement component C6	E9Q6D8_MOUSE
ENSMUSG00000116563	ENSMUSG00000116563		
ENSMUSG00000022780	Meltf	Melanotransferrin	TRFM_MOUSE
ENSMUSG00000031487	Brf2	Transcription factor IIIB 50 kDa subunit	BRF2_MOUSE
ENSMUSG00000041920	Slc16a6	Monocarboxylate transporter 7	MOT7_MOUSE
ENSMUSG00000026751	Nr5a1	Steroidogenic factor 1	STF1_MOUSE
ENSMUSG00000086596	Susd5	Sushi domain-containing 5	G3UW60_MOUSE
ENSMUSG00000000154	Slc22a18	Solute carrier family 22 member 18	S22AI_MOUSE
ENSMUSG00000024246	Thumpd2	THUMP domain-containing protein 2	THUM2_MOUSE
ENSMUSG00000033047	Eif3l	Eukaryotic translation initiation factor 3 subunit L	EIF3L_MOUSE
ENSMUSG00000026837	Col5a1	Collagen alpha-1(V) chain	CO5A1_MOUSE
ENSMUSG00000052675	Zfp112	Zinc finger protein 112	ZN112_MOUSE
ENSMUSG00000068040	Tm9sf4	Transmembrane 9 superfamily member 4	TM9S4_MOUSE
ENSMUSG00000031075	Ano1	Anoctamin-1	ANO1_MOUSE
ENSMUSG00000022248	Rad1	Cell cycle checkpoint protein RAD1	RAD1_MOUSE
ENSMUSG00000095101	Gm13285	Interferon 1ha7	B1AYI3_MOUSE
ENSMUSG00000009293	Ube2g2	Ubiquitin-conjugating enzyme E2 G2	UB2G2_MOUSE
ENSMUSG00000074268	Amy2a5	Pancreatic alpha-amylase	AMYP_MOUSE
ENSMUSG00000036634	Mag	Myelin-associated glycoprotein	MAG_MOUSE
ENSMUSG00000115423	ENSMUSG00000115423		
ENSMUSG00000023110	Prmt5	Protein arginine N-methyltransferase 5	ANM5_MOUSE
ENSMUSG00000025260	Hsd17b10	3-hydroxyacyl-CoA dehydrogenase type-2	HCD2_MOUSE
ENSMUSG00000091651	Vmn2r36	Vomeronasal 2, receptor 36	K7N741_MOUSE
ENSMUSG00000079386	Gm3173	Alpha6-takusan	A6NAS3_MOUSE
ENSMUSG00000030008	Pradc1	Protease-associated domain-containing protein 1	PADC1_MOUSE
ENSMUSG00000078922	Tgtp1	T-cell-specific guanine nucleotide triphosphate-binding protein 1	TGTP1_MOUSE
ENSMUSG00000021285	Ppp1r13b	Apoptosis-stimulating of p53 protein 1	ASPP1_MOUSE
ENSMUSG00000021356	Irf4	Interferon regulatory factor 4	IRF4_MOUSE
ENSMUSG00000042279	H1f8	Histone H1.8	H18_MOUSE
ENSMUSG00000049537	Tecrl	Trans-2,3-enoyl-CoA reductase-like	TECRL_MOUSE
ENSMUSG00000067925	Rtl8a	CAAX box 1 homolog A (Human)	Q9D1F0_MOUSE
ENSMUSG00000040097	Flywch1	FLYWCH-type zinc finger-containing protein 1	FWCH1_MOUSE
ENSMUSG00000057614	Gnai1	Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1_MOUSE
ENSMUSG00000024065	Ehd3	EH domain-containing protein 3	EHD3_MOUSE
ENSMUSG00000022245	Skor1	SKI family transcriptional corepressor 1	SKOR1_MOUSE
